Time,Quaternions, Accelaration 
[2023-07-26 15:57:09.460373],[0.773,-0.082,-0.540,-0.322], [0.086,0.945,0.225]
[2023-07-26 15:57:09.560623],[0.772,-0.083,-0.540,-0.325], [0.035,0.940,0.296]
[2023-07-26 15:57:09.660871],[0.772,-0.083,-0.541,-0.324], [0.102,0.960,0.247]
[2023-07-26 15:57:09.761120],[0.772,-0.083,-0.541,-0.323], [0.140,0.964,0.202]
[2023-07-26 15:57:09.861366],[0.771,-0.082,-0.541,-0.324], [0.046,0.958,0.185]
[2023-07-26 15:57:09.961611],[0.771,-0.083,-0.541,-0.326], [0.059,0.949,0.305]
[2023-07-26 15:57:10.061861],[0.771,-0.083,-0.542,-0.325], [0.023,0.939,0.325]
[2023-07-26 15:57:10.162109],[0.771,-0.084,-0.542,-0.325], [0.076,0.968,0.325]
[2023-07-26 15:57:10.262360],[0.771,-0.084,-0.541,-0.326], [0.043,0.955,0.288]
[2023-07-26 15:57:10.362606],[0.770,-0.084,-0.541,-0.327], [0.063,0.955,0.269]
[2023-07-26 15:57:10.462854],[0.772,-0.084,-0.539,-0.327], [0.110,0.941,0.240]
[2023-07-26 15:57:10.563103],[0.771,-0.084,-0.539,-0.327], [0.042,0.945,0.261]
[2023-07-26 15:57:10.663353],[0.772,-0.084,-0.539,-0.327], [0.048,0.956,0.259]
[2023-07-26 15:57:10.763606],[0.772,-0.085,-0.538,-0.328], [0.120,0.936,0.313]
[2023-07-26 15:57:10.863853],[0.772,-0.085,-0.538,-0.328], [0.031,0.947,0.359]
[2023-07-26 15:57:10.964103],[0.771,-0.085,-0.539,-0.328], [0.042,0.949,0.249]
[2023-07-26 15:57:11.064346],[0.772,-0.086,-0.538,-0.328], [0.097,0.951,0.232]
[2023-07-26 15:57:11.164591],[0.772,-0.087,-0.538,-0.329], [0.065,0.952,0.230]
[2023-07-26 15:57:11.264837],[0.772,-0.087,-0.538,-0.328], [0.103,0.942,0.337]
[2023-07-26 15:57:11.365085],[0.772,-0.087,-0.538,-0.329], [0.075,0.934,0.331]
[2023-07-26 15:57:11.465333],[0.771,-0.087,-0.538,-0.330], [-0.021,0.958,0.323]
[2023-07-26 15:57:11.565580],[0.771,-0.088,-0.538,-0.329], [0.068,0.950,0.214]
[2023-07-26 15:57:11.665828],[0.772,-0.087,-0.537,-0.330], [0.073,0.948,0.189]
[2023-07-26 15:57:11.766078],[0.770,-0.088,-0.537,-0.332], [0.019,0.944,0.256]
[2023-07-26 15:57:11.866326],[0.770,-0.088,-0.538,-0.330], [0.067,0.949,0.207]
[2023-07-26 15:57:11.966574],[0.770,-0.088,-0.538,-0.331], [0.093,0.945,0.256]
[2023-07-26 15:57:12.066842],[0.770,-0.088,-0.538,-0.331], [0.099,0.945,0.296]
[2023-07-26 15:57:12.167090],[0.770,-0.088,-0.539,-0.331], [0.109,0.952,0.236]
[2023-07-26 15:57:12.267336],[0.769,-0.089,-0.539,-0.331], [0.067,0.952,0.271]
[2023-07-26 15:57:12.367588],[0.769,-0.089,-0.539,-0.331], [0.058,0.937,0.246]
[2023-07-26 15:57:12.467833],[0.769,-0.089,-0.539,-0.331], [0.092,0.957,0.234]
[2023-07-26 15:57:12.568083],[0.770,-0.088,-0.538,-0.332], [0.009,0.934,0.371]
[2023-07-26 15:57:12.668339],[0.771,-0.087,-0.537,-0.332], [0.005,0.932,0.398]
[2023-07-26 15:57:12.768589],[0.771,-0.087,-0.536,-0.333], [0.031,0.943,0.323]
[2023-07-26 15:57:12.868836],[0.771,-0.088,-0.535,-0.333], [0.083,0.948,0.282]
[2023-07-26 15:57:12.969085],[0.773,-0.088,-0.534,-0.332], [0.083,0.957,0.315]
[2023-07-26 15:57:13.069336],[0.773,-0.087,-0.534,-0.331], [0.019,0.923,0.289]
[2023-07-26 15:57:13.169585],[0.774,-0.088,-0.533,-0.331], [-0.037,0.951,0.438]
[2023-07-26 15:57:13.269847],[0.777,-0.088,-0.527,-0.332], [0.123,0.964,0.154]
[2023-07-26 15:57:13.370094],[0.777,-0.090,-0.526,-0.334], [0.044,0.941,0.283]
[2023-07-26 15:57:13.470342],[0.777,-0.091,-0.525,-0.334], [0.062,0.956,0.252]
[2023-07-26 15:57:13.570592],[0.777,-0.092,-0.526,-0.333], [0.130,0.955,0.251]
[2023-07-26 15:57:13.670849],[0.779,-0.091,-0.524,-0.333], [0.068,0.943,0.373]
[2023-07-26 15:57:13.771102],[0.779,-0.092,-0.523,-0.334], [0.054,0.934,0.297]
[2023-07-26 15:57:13.871353],[0.778,-0.093,-0.524,-0.334], [0.048,0.929,0.347]
[2023-07-26 15:57:13.971600],[0.777,-0.092,-0.527,-0.332], [0.008,0.943,0.262]
[2023-07-26 15:57:14.071878],[0.779,-0.095,-0.525,-0.330], [0.052,0.928,0.338]
[2023-07-26 15:57:14.172129],[0.778,-0.096,-0.527,-0.328], [0.093,0.947,0.277]
[2023-07-26 15:57:14.272380],[0.780,-0.097,-0.527,-0.324], [0.050,0.939,0.432]
[2023-07-26 15:57:14.372628],[0.780,-0.097,-0.529,-0.319], [0.120,0.953,0.328]
[2023-07-26 15:57:14.472877],[0.781,-0.098,-0.530,-0.317], [0.108,0.940,0.325]
[2023-07-26 15:57:14.573127],[0.782,-0.097,-0.528,-0.315], [0.038,0.942,0.272]
[2023-07-26 15:57:14.673378],[0.783,-0.098,-0.527,-0.315], [0.049,0.938,0.262]
[2023-07-26 15:57:14.773628],[0.784,-0.097,-0.526,-0.314], [0.040,0.947,0.223]
[2023-07-26 15:57:14.873883],[0.782,-0.098,-0.529,-0.314], [0.107,0.943,0.338]
[2023-07-26 15:57:14.974127],[0.783,-0.098,-0.529,-0.313], [0.067,0.944,0.241]
[2023-07-26 15:57:15.074382],[0.782,-0.097,-0.530,-0.312], [0.078,0.948,0.300]
[2023-07-26 15:57:15.174630],[0.782,-0.097,-0.531,-0.312], [0.060,0.944,0.300]
[2023-07-26 15:57:15.274884],[0.779,-0.096,-0.534,-0.313], [-0.000,0.927,0.325]
[2023-07-26 15:57:15.375140],[0.778,-0.096,-0.536,-0.314], [0.069,0.965,0.393]
[2023-07-26 15:57:15.475390],[0.780,-0.094,-0.533,-0.315], [0.008,0.944,0.361]
[2023-07-26 15:57:15.575642],[0.779,-0.093,-0.534,-0.315], [0.071,0.947,0.277]
[2023-07-26 15:57:15.675898],[0.776,-0.092,-0.536,-0.320], [0.021,1.000,0.292]
[2023-07-26 15:57:15.776150],[0.775,-0.089,-0.536,-0.323], [0.022,0.944,0.297]
[2023-07-26 15:57:15.876398],[0.774,-0.088,-0.538,-0.323], [0.020,0.934,0.287]
[2023-07-26 15:57:15.976643],[0.773,-0.088,-0.538,-0.323], [0.080,0.955,0.275]
[2023-07-26 15:57:16.076891],[0.772,-0.088,-0.539,-0.324], [0.072,0.982,0.310]
[2023-07-26 15:57:16.177138],[0.772,-0.087,-0.539,-0.325], [0.003,0.952,0.253]
[2023-07-26 15:57:16.277384],[0.771,-0.087,-0.540,-0.326], [0.024,0.938,0.206]
[2023-07-26 15:57:16.377629],[0.771,-0.087,-0.540,-0.327], [0.014,0.941,0.205]
[2023-07-26 15:57:16.477879],[0.770,-0.088,-0.540,-0.328], [0.105,0.956,0.301]
[2023-07-26 15:57:16.578129],[0.769,-0.088,-0.541,-0.329], [-0.008,0.945,0.264]
[2023-07-26 15:57:16.678380],[0.768,-0.088,-0.542,-0.329], [0.049,0.958,0.277]
[2023-07-26 15:57:16.778633],[0.767,-0.089,-0.543,-0.330], [0.035,0.942,0.237]
[2023-07-26 15:57:16.878876],[0.766,-0.089,-0.543,-0.332], [0.110,0.946,0.342]
[2023-07-26 15:57:16.979123],[0.766,-0.089,-0.544,-0.332], [-0.032,0.957,0.260]
[2023-07-26 15:57:17.079369],[0.765,-0.089,-0.544,-0.333], [-0.021,0.942,0.243]
[2023-07-26 15:57:17.179617],[0.765,-0.089,-0.544,-0.334], [0.007,0.946,0.255]
[2023-07-26 15:57:17.279863],[0.764,-0.089,-0.544,-0.334], [0.108,0.953,0.326]
[2023-07-26 15:57:17.380111],[0.764,-0.089,-0.544,-0.335], [0.052,0.938,0.342]
[2023-07-26 15:57:17.480358],[0.764,-0.089,-0.544,-0.336], [0.027,0.946,0.354]
[2023-07-26 15:57:17.580607],[0.764,-0.089,-0.544,-0.336], [-0.007,0.948,0.265]
[2023-07-26 15:57:17.680853],[0.764,-0.089,-0.544,-0.336], [0.006,0.947,0.250]
[2023-07-26 15:57:17.781110],[0.764,-0.089,-0.544,-0.336], [0.025,0.945,0.265]
[2023-07-26 15:57:17.881359],[0.764,-0.089,-0.544,-0.336], [0.008,0.957,0.282]
[2023-07-26 15:57:17.981615],[0.764,-0.089,-0.544,-0.336], [0.019,0.953,0.252]
[2023-07-26 15:57:18.081867],[0.764,-0.090,-0.544,-0.336], [0.012,0.950,0.242]
[2023-07-26 15:57:18.182114],[0.763,-0.091,-0.545,-0.336], [0.092,0.949,0.308]
[2023-07-26 15:57:18.282364],[0.763,-0.092,-0.545,-0.336], [0.087,0.955,0.322]
[2023-07-26 15:57:18.382618],[0.762,-0.092,-0.545,-0.336], [0.023,0.942,0.244]
[2023-07-26 15:57:18.482880],[0.762,-0.092,-0.546,-0.336], [0.036,0.948,0.240]
[2023-07-26 15:57:18.583131],[0.762,-0.092,-0.546,-0.336], [0.009,0.950,0.341]
[2023-07-26 15:57:18.683380],[0.761,-0.092,-0.547,-0.336], [0.021,0.941,0.252]
[2023-07-26 15:57:18.783630],[0.761,-0.093,-0.546,-0.336], [0.019,0.952,0.288]
[2023-07-26 15:57:18.883879],[0.761,-0.092,-0.547,-0.336], [0.016,0.955,0.247]
[2023-07-26 15:57:18.984146],[0.761,-0.093,-0.547,-0.336], [0.019,0.951,0.258]
[2023-07-26 15:57:19.084400],[0.761,-0.093,-0.546,-0.337], [0.023,0.950,0.320]
[2023-07-26 15:57:19.184649],[0.761,-0.093,-0.546,-0.337], [0.014,0.963,0.283]
[2023-07-26 15:57:19.284900],[0.762,-0.092,-0.546,-0.337], [-0.018,0.952,0.315]
[2023-07-26 15:57:19.385157],[0.762,-0.092,-0.546,-0.337], [0.033,0.938,0.243]
[2023-07-26 15:57:19.485417],[0.762,-0.093,-0.546,-0.337], [0.026,0.952,0.261]
