Time,Quaternions, Accelaration 
[2023-07-26 15:37:04.544201],[0.970,-0.077,-0.093,-0.209], [-0.200,0.025,1.017]
[2023-07-26 15:37:04.652374],[0.970,-0.076,-0.091,-0.211], [-0.165,0.021,1.021]
[2023-07-26 15:37:04.762395],[0.970,-0.073,-0.091,-0.212], [-0.162,0.042,1.046]
[2023-07-26 15:37:04.871908],[0.970,-0.073,-0.090,-0.213], [-0.181,0.037,1.012]
[2023-07-26 15:37:04.981263],[0.970,-0.073,-0.090,-0.211], [-0.231,0.049,1.067]
[2023-07-26 15:37:05.089784],[0.971,-0.076,-0.092,-0.206], [-0.138,-0.002,1.153]
[2023-07-26 15:37:05.198815],[0.971,-0.077,-0.090,-0.206], [-0.180,0.002,1.039]
[2023-07-26 15:37:05.307547],[0.971,-0.077,-0.090,-0.206], [-0.161,0.041,1.013]
[2023-07-26 15:37:05.417594],[0.971,-0.077,-0.088,-0.206], [-0.161,0.035,1.029]
[2023-07-26 15:37:05.526254],[0.972,-0.077,-0.087,-0.206], [-0.177,0.032,1.055]
[2023-07-26 15:37:05.635801],[0.972,-0.074,-0.088,-0.206], [-0.109,0.014,0.889]
[2023-07-26 15:37:05.747070],[0.971,-0.078,-0.092,-0.206], [-0.106,0.044,1.173]
[2023-07-26 15:37:05.857090],[0.970,-0.078,-0.085,-0.213], [-0.244,0.011,1.144]
[2023-07-26 15:37:05.965859],[0.970,-0.070,-0.084,-0.215], [-0.083,0.039,1.015]
[2023-07-26 15:37:06.074327],[0.973,-0.052,-0.048,-0.221], [-0.181,0.104,0.946]
[2023-07-26 15:37:06.183570],[0.973,-0.021,-0.005,-0.228], [-0.375,0.108,0.997]
[2023-07-26 15:37:06.291663],[0.971,-0.006,0.028,-0.235], [-0.442,0.116,0.918]
[2023-07-26 15:37:06.401738],[0.971,-0.007,0.038,-0.236], [-0.466,0.070,0.965]
[2023-07-26 15:37:06.511206],[0.971,-0.008,0.041,-0.234], [-0.456,0.098,0.941]
[2023-07-26 15:37:06.619368],[0.971,-0.004,0.044,-0.234], [-0.452,0.104,0.902]
[2023-07-26 15:37:06.729361],[0.972,-0.005,0.045,-0.232], [-0.467,0.093,0.918]
[2023-07-26 15:37:06.838600],[0.972,-0.002,0.043,-0.229], [-0.472,0.095,0.944]
[2023-07-26 15:37:06.948467],[0.973,0.002,0.043,-0.226], [-0.457,0.124,0.914]
[2023-07-26 15:37:07.056640],[0.973,0.003,0.042,-0.225], [-0.469,0.111,0.922]
[2023-07-26 15:37:07.164930],[0.973,0.004,0.042,-0.225], [-0.466,0.124,0.913]
[2023-07-26 15:37:07.273670],[0.973,0.003,0.041,-0.225], [-0.459,0.121,0.911]
[2023-07-26 15:37:07.384180],[0.974,0.003,0.039,-0.225], [-0.479,0.111,0.940]
[2023-07-26 15:37:07.494062],[0.973,0.003,0.038,-0.226], [-0.473,0.110,0.940]
[2023-07-26 15:37:07.602216],[0.974,0.003,0.038,-0.225], [-0.462,0.117,0.939]
[2023-07-26 15:37:07.711358],[0.974,0.004,0.037,-0.225], [-0.463,0.119,0.938]
[2023-07-26 15:37:07.820620],[0.974,0.004,0.037,-0.225], [-0.434,0.131,0.910]
[2023-07-26 15:37:07.927617],[0.974,0.005,0.036,-0.224], [-0.443,0.129,0.906]
[2023-07-26 15:37:08.036142],[0.974,0.004,0.035,-0.225], [-0.442,0.126,0.914]
[2023-07-26 15:37:08.148740],[0.974,0.004,0.034,-0.224], [-0.442,0.127,0.921]
[2023-07-26 15:37:08.257001],[0.974,0.004,0.034,-0.224], [-0.433,0.136,0.918]
